event_date,event_label,stock,beta_oil,beta_fx,oil_shock_pct,fx_shock_pct,oil_score,fx_score,composite_score,signal
2020-03-09,Saudi-Russia Price War Erupts,ASIANPAINT,-0.004,-0.398,-19.78,0.04,0.089,-0.016,0.073,1
2020-03-09,Saudi-Russia Price War Erupts,CIPLA,0.036,0.901,-19.78,0.04,-0.714,0.036,-0.678,-1
2020-03-09,Saudi-Russia Price War Erupts,MARUTI,0.045,1.397,-19.78,0.04,-0.882,0.056,-0.826,-1
2020-03-09,Saudi-Russia Price War Erupts,ADANIPORTS,0.055,0.42,-19.78,0.04,-1.082,0.017,-1.065,-1
2020-03-09,Saudi-Russia Price War Erupts,ITC,0.071,0.115,-19.78,0.04,-1.397,0.005,-1.392,-1
2020-03-09,Saudi-Russia Price War Erupts,INDIGO,0.128,-0.265,-19.78,0.04,-2.53,-0.011,-2.541,-1
2020-03-09,Saudi-Russia Price War Erupts,HINDUNILVR,0.131,-0.217,-19.78,0.04,-2.588,-0.009,-2.597,-1
2020-04-20,WTI Negative Price Crash,HPCL,-0.056,-0.805,-8.42,-0.84,0.474,0.678,1.152,1
2020-04-20,WTI Negative Price Crash,ASIANPAINT,-0.061,-0.678,-8.42,-0.84,0.511,0.571,1.082,1
2020-04-20,WTI Negative Price Crash,TCS,-0.039,-0.628,-8.42,-0.84,0.326,0.529,0.855,1
2020-04-20,WTI Negative Price Crash,BPCL,-0.027,-0.739,-8.42,-0.84,0.224,0.623,0.847,1
2020-04-20,WTI Negative Price Crash,IOC,-0.046,-0.415,-8.42,-0.84,0.386,0.35,0.735,1
2020-04-20,WTI Negative Price Crash,INDIGO,-0.025,-0.375,-8.42,-0.84,0.21,0.316,0.527,1
2020-04-20,WTI Negative Price Crash,TATAMOTORS,-0.022,-0.36,-8.42,-0.84,0.182,0.303,0.485,1
2020-04-20,WTI Negative Price Crash,ONGC,-0.04,-0.126,-8.42,-0.84,0.336,0.106,0.442,1
2020-04-20,WTI Negative Price Crash,INFY,-0.066,0.52,-8.42,-0.84,0.552,-0.438,0.114,1
2020-04-20,WTI Negative Price Crash,ITC,0.054,-0.451,-8.42,-0.84,-0.451,0.38,-0.072,-1
2020-04-20,WTI Negative Price Crash,HINDUNILVR,0.073,-0.558,-8.42,-0.84,-0.617,0.47,-0.147,-1
2020-04-20,WTI Negative Price Crash,RELIANCE,-0.027,0.599,-8.42,-0.84,0.225,-0.505,-0.28,-1
2020-04-20,WTI Negative Price Crash,ADANIPORTS,0.06,-0.128,-8.42,-0.84,-0.506,0.108,-0.398,-1
2020-04-20,WTI Negative Price Crash,MARUTI,0.014,0.672,-8.42,-0.84,-0.122,-0.566,-0.688,-1
2020-04-20,WTI Negative Price Crash,CIPLA,0.041,1.12,-8.42,-0.84,-0.346,-0.944,-1.29,-1
2021-03-08,Suez Canal Blockage,HPCL,0.161,-1.157,6.1,0.02,0.984,-0.027,0.957,1
2021-03-08,Suez Canal Blockage,TCS,0.148,0.538,6.1,0.02,0.903,0.013,0.916,1
2021-03-08,Suez Canal Blockage,INDIGO,0.127,-0.509,6.1,0.02,0.773,-0.012,0.761,1
2021-03-08,Suez Canal Blockage,ADANIPORTS,0.085,-0.402,6.1,0.02,0.517,-0.01,0.507,1
2021-03-08,Suez Canal Blockage,MARUTI,0.003,-0.536,6.1,0.02,0.016,-0.013,0.003,0
2021-03-08,Suez Canal Blockage,BPCL,-0.02,-0.078,6.1,0.02,-0.121,-0.002,-0.123,-1
2021-03-08,Suez Canal Blockage,IOC,-0.022,0.094,6.1,0.02,-0.132,0.002,-0.13,-1
2021-03-08,Suez Canal Blockage,INFY,-0.052,-0.495,6.1,0.02,-0.317,-0.012,-0.329,-1
2021-03-08,Suez Canal Blockage,RELIANCE,-0.052,-0.584,6.1,0.02,-0.317,-0.014,-0.331,-1
2021-03-08,Suez Canal Blockage,ASIANPAINT,-0.055,-0.904,6.1,0.02,-0.335,-0.021,-0.357,-1
2021-03-08,Suez Canal Blockage,CIPLA,-0.083,0.164,6.1,0.02,-0.507,0.004,-0.504,-1
2021-03-08,Suez Canal Blockage,ITC,-0.094,-0.652,6.1,0.02,-0.574,-0.015,-0.589,-1
2021-03-08,Suez Canal Blockage,HINDUNILVR,-0.15,0.196,6.1,0.02,-0.912,0.005,-0.908,-1
2021-03-08,Suez Canal Blockage,ONGC,-0.194,0.076,6.1,0.02,-1.186,0.002,-1.185,-1
2021-03-08,Suez Canal Blockage,TATAMOTORS,-0.199,0.418,6.1,0.02,-1.213,0.01,-1.203,-1
2022-02-24,Russia-Ukraine Invasion,BPCL,0.167,-1.0,14.17,-0.55,2.362,0.551,2.913,1
2022-02-24,Russia-Ukraine Invasion,RELIANCE,0.101,-0.262,14.17,-0.55,1.427,0.144,1.571,1
2022-02-24,Russia-Ukraine Invasion,TCS,0.033,0.263,14.17,-0.55,0.473,-0.145,0.329,1
2022-02-24,Russia-Ukraine Invasion,HPCL,-0.037,-1.496,14.17,-0.55,-0.523,0.823,0.301,1
2022-02-24,Russia-Ukraine Invasion,ASIANPAINT,0.009,-0.216,14.17,-0.55,0.133,0.119,0.252,1
2022-02-24,Russia-Ukraine Invasion,ADANIPORTS,-0.008,-0.306,14.17,-0.55,-0.106,0.169,0.062,1
2022-02-24,Russia-Ukraine Invasion,CIPLA,0.01,0.167,14.17,-0.55,0.139,-0.092,0.047,1
2022-02-24,Russia-Ukraine Invasion,ITC,0.007,0.557,14.17,-0.55,0.103,-0.307,-0.203,-1
2022-02-24,Russia-Ukraine Invasion,MARUTI,-0.064,-0.66,14.17,-0.55,-0.901,0.363,-0.538,-1
2022-02-24,Russia-Ukraine Invasion,HINDUNILVR,-0.023,0.472,14.17,-0.55,-0.332,-0.26,-0.592,-1
2022-02-24,Russia-Ukraine Invasion,ONGC,-0.097,-0.695,14.17,-0.55,-1.38,0.383,-0.998,-1
2022-02-24,Russia-Ukraine Invasion,TATAMOTORS,-0.072,0.084,14.17,-0.55,-1.02,-0.046,-1.067,-1
2022-02-24,Russia-Ukraine Invasion,INFY,-0.092,0.34,14.17,-0.55,-1.299,-0.187,-1.487,-1
2022-02-24,Russia-Ukraine Invasion,IOC,-0.157,-0.105,14.17,-0.55,-2.223,0.058,-2.166,-1
2022-02-24,Russia-Ukraine Invasion,INDIGO,-0.167,2.534,14.17,-0.55,-2.362,-1.395,-3.758,-1
2022-06-02,OPEC+ Production Hike,IOC,-0.134,-0.142,-7.21,0.72,0.964,-0.102,0.862,1
2022-06-02,OPEC+ Production Hike,CIPLA,-0.074,0.064,-7.21,0.72,0.536,0.046,0.582,1
2022-06-02,OPEC+ Production Hike,INFY,-0.028,0.413,-7.21,0.72,0.199,0.296,0.495,1
2022-06-02,OPEC+ Production Hike,ONGC,0.013,0.661,-7.21,0.72,-0.094,0.473,0.38,1
2022-06-02,OPEC+ Production Hike,ITC,-0.008,0.24,-7.21,0.72,0.059,0.172,0.231,1
2022-06-02,OPEC+ Production Hike,BPCL,-0.026,-0.005,-7.21,0.72,0.185,-0.004,0.181,1
2022-06-02,OPEC+ Production Hike,TCS,0.017,0.262,-7.21,0.72,-0.125,0.188,0.062,1
2022-06-02,OPEC+ Production Hike,MARUTI,0.008,0.109,-7.21,0.72,-0.058,0.078,0.02,1
2022-06-02,OPEC+ Production Hike,HINDUNILVR,0.029,0.095,-7.21,0.72,-0.211,0.068,-0.143,-1
2022-06-02,OPEC+ Production Hike,ASIANPAINT,0.039,0.097,-7.21,0.72,-0.28,0.069,-0.211,-1
2022-06-02,OPEC+ Production Hike,TATAMOTORS,0.076,0.269,-7.21,0.72,-0.551,0.193,-0.359,-1
2022-06-02,OPEC+ Production Hike,RELIANCE,0.024,-0.332,-7.21,0.72,-0.17,-0.238,-0.408,-1
2022-06-02,OPEC+ Production Hike,HPCL,0.076,-0.497,-7.21,0.72,-0.549,-0.356,-0.905,-1
2022-06-02,OPEC+ Production Hike,ADANIPORTS,0.102,-0.85,-7.21,0.72,-0.732,-0.609,-1.341,-1
2022-06-02,OPEC+ Production Hike,INDIGO,0.101,-1.447,-7.21,0.72,-0.727,-1.037,-1.764,-1
2023-04-02,OPEC+ Surprise Cut,TATAMOTORS,0.175,1.577,4.58,-0.14,0.801,-0.218,0.583,1
2023-04-02,OPEC+ Surprise Cut,INFY,0.137,0.771,4.58,-0.14,0.626,-0.106,0.52,1
2023-04-02,OPEC+ Surprise Cut,CIPLA,0.092,-0.0,4.58,-0.14,0.424,0.0,0.424,1
2023-04-02,OPEC+ Surprise Cut,TCS,0.045,-0.251,4.58,-0.14,0.208,0.035,0.242,1
2023-04-02,OPEC+ Surprise Cut,ASIANPAINT,0.038,-0.014,4.58,-0.14,0.176,0.002,0.178,1
2023-04-02,OPEC+ Surprise Cut,IOC,0.041,1.07,4.58,-0.14,0.189,-0.148,0.042,1
2023-04-02,OPEC+ Surprise Cut,ITC,-0.096,-0.337,4.58,-0.14,-0.439,0.047,-0.393,-1
2023-04-02,OPEC+ Surprise Cut,BPCL,-0.057,1.095,4.58,-0.14,-0.261,-0.151,-0.412,-1
2023-04-02,OPEC+ Surprise Cut,HINDUNILVR,-0.103,-0.414,4.58,-0.14,-0.474,0.057,-0.416,-1
2023-04-02,OPEC+ Surprise Cut,MARUTI,-0.13,-0.092,4.58,-0.14,-0.596,0.013,-0.583,-1
2023-04-02,OPEC+ Surprise Cut,ONGC,-0.109,0.695,4.58,-0.14,-0.501,-0.096,-0.597,-1
2023-04-02,OPEC+ Surprise Cut,ADANIPORTS,-0.116,0.706,4.58,-0.14,-0.533,-0.097,-0.631,-1
2023-04-02,OPEC+ Surprise Cut,HPCL,-0.114,0.978,4.58,-0.14,-0.525,-0.135,-0.66,-1
2023-04-02,OPEC+ Surprise Cut,INDIGO,-0.143,0.312,4.58,-0.14,-0.654,-0.043,-0.697,-1
2023-04-02,OPEC+ Surprise Cut,RELIANCE,-0.198,-0.566,4.58,-0.14,-0.908,0.078,-0.83,-1
2023-10-07,Hamas-Israel Conflict Start,TATAMOTORS,0.218,0.722,10.83,0.19,2.362,0.134,2.496,1
2023-10-07,Hamas-Israel Conflict Start,ASIANPAINT,0.122,-0.052,10.83,0.19,1.319,-0.01,1.309,1
2023-10-07,Hamas-Israel Conflict Start,RELIANCE,0.099,-0.356,10.83,0.19,1.067,-0.066,1.001,1
2023-10-07,Hamas-Israel Conflict Start,HINDUNILVR,0.066,0.311,10.83,0.19,0.715,0.058,0.772,1
2023-10-07,Hamas-Israel Conflict Start,ONGC,0.021,1.021,10.83,0.19,0.223,0.189,0.412,1
2023-10-07,Hamas-Israel Conflict Start,HPCL,0.036,-0.703,10.83,0.19,0.386,-0.13,0.256,1
2023-10-07,Hamas-Israel Conflict Start,INDIGO,-0.007,1.42,10.83,0.19,-0.077,0.264,0.187,1
2023-10-07,Hamas-Israel Conflict Start,CIPLA,0.014,-0.042,10.83,0.19,0.146,-0.008,0.138,1
2023-10-07,Hamas-Israel Conflict Start,BPCL,0.004,-0.292,10.83,0.19,0.041,-0.054,-0.013,-1
2023-10-07,Hamas-Israel Conflict Start,ADANIPORTS,0.002,-0.366,10.83,0.19,0.021,-0.068,-0.047,-1
2023-10-07,Hamas-Israel Conflict Start,IOC,-0.02,0.871,10.83,0.19,-0.221,0.162,-0.059,-1
2023-10-07,Hamas-Israel Conflict Start,ITC,-0.012,0.367,10.83,0.19,-0.132,0.068,-0.064,-1
2023-10-07,Hamas-Israel Conflict Start,TCS,-0.047,-0.146,10.83,0.19,-0.506,-0.027,-0.533,-1
2023-10-07,Hamas-Israel Conflict Start,MARUTI,-0.088,-0.093,10.83,0.19,-0.956,-0.017,-0.973,-1
2023-10-07,Hamas-Israel Conflict Start,INFY,-0.114,0.212,10.83,0.19,-1.229,0.039,-1.189,-1
2024-01-12,Houthi Red Sea Attacks Escalate,ADANIPORTS,0.237,-0.037,5.16,-0.01,1.226,0.001,1.226,1
2024-01-12,Houthi Red Sea Attacks Escalate,CIPLA,0.21,-0.248,5.16,-0.01,1.084,0.004,1.087,1
2024-01-12,Houthi Red Sea Attacks Escalate,TATAMOTORS,0.19,-1.61,5.16,-0.01,0.983,0.023,1.006,1
2024-01-12,Houthi Red Sea Attacks Escalate,HPCL,0.185,1.025,5.16,-0.01,0.956,-0.015,0.941,1
2024-01-12,Houthi Red Sea Attacks Escalate,INFY,0.087,-0.036,5.16,-0.01,0.45,0.001,0.45,1
2024-01-12,Houthi Red Sea Attacks Escalate,TCS,0.046,-0.439,5.16,-0.01,0.24,0.006,0.246,1
2024-01-12,Houthi Red Sea Attacks Escalate,HINDUNILVR,0.029,-0.392,5.16,-0.01,0.151,0.006,0.156,1
2024-01-12,Houthi Red Sea Attacks Escalate,ASIANPAINT,0.025,0.624,5.16,-0.01,0.128,-0.009,0.119,1
2024-01-12,Houthi Red Sea Attacks Escalate,INDIGO,0.021,1.92,5.16,-0.01,0.108,-0.027,0.081,1
2024-01-12,Houthi Red Sea Attacks Escalate,MARUTI,-0.05,0.582,5.16,-0.01,-0.256,-0.008,-0.264,-1
2024-01-12,Houthi Red Sea Attacks Escalate,IOC,-0.069,0.04,5.16,-0.01,-0.358,-0.001,-0.358,-1
2024-01-12,Houthi Red Sea Attacks Escalate,ITC,-0.109,-0.598,5.16,-0.01,-0.563,0.009,-0.555,-1
2024-01-12,Houthi Red Sea Attacks Escalate,RELIANCE,-0.11,1.126,5.16,-0.01,-0.569,-0.016,-0.586,-1
2024-01-12,Houthi Red Sea Attacks Escalate,ONGC,-0.128,0.255,5.16,-0.01,-0.661,-0.004,-0.665,-1
2024-01-12,Houthi Red Sea Attacks Escalate,BPCL,-0.194,0.397,5.16,-0.01,-1.0,-0.006,-1.005,-1
2024-04-14,Iran-Israel Direct Strike,INDIGO,0.152,1.104,6.65,0.79,1.014,0.876,1.889,1
2024-04-14,Iran-Israel Direct Strike,BPCL,0.116,-0.051,6.65,0.79,0.769,-0.041,0.729,1
2024-04-14,Iran-Israel Direct Strike,INFY,0.075,0.044,6.65,0.79,0.499,0.035,0.535,1
2024-04-14,Iran-Israel Direct Strike,IOC,-0.082,1.216,6.65,0.79,-0.543,0.965,0.422,1
2024-04-14,Iran-Israel Direct Strike,ONGC,0.101,-0.326,6.65,0.79,0.672,-0.259,0.414,1
2024-04-14,Iran-Israel Direct Strike,ITC,-0.001,0.159,6.65,0.79,-0.004,0.126,0.122,1
2024-04-14,Iran-Israel Direct Strike,MARUTI,0.02,-0.121,6.65,0.79,0.135,-0.096,0.039,1
2024-04-14,Iran-Israel Direct Strike,HINDUNILVR,-0.045,0.193,6.65,0.79,-0.3,0.153,-0.147,-1
2024-04-14,Iran-Israel Direct Strike,TCS,-0.038,0.045,6.65,0.79,-0.256,0.035,-0.221,-1
2024-04-14,Iran-Israel Direct Strike,ASIANPAINT,-0.014,-0.225,6.65,0.79,-0.096,-0.178,-0.275,-1
2024-04-14,Iran-Israel Direct Strike,RELIANCE,-0.057,0.014,6.65,0.79,-0.381,0.011,-0.37,-1
2024-04-14,Iran-Israel Direct Strike,HPCL,-0.05,-0.618,6.65,0.79,-0.332,-0.49,-0.822,-1
2024-04-14,Iran-Israel Direct Strike,CIPLA,-0.146,-0.082,6.65,0.79,-0.97,-0.065,-1.035,-1
2024-04-14,Iran-Israel Direct Strike,TATAMOTORS,-0.109,-0.835,6.65,0.79,-0.722,-0.663,-1.385,-1
2024-04-14,Iran-Israel Direct Strike,ADANIPORTS,-0.213,-1.254,6.65,0.79,-1.414,-0.995,-2.409,-1
