,date,stock,signal,weight,predicted_return,gross_return,net_return,hit
81,2023-06-30,RELIANCE,-1,-0.25,-0.5379,-3.3174,0.7919,True
82,2023-06-30,ONGC,-1,-0.25,-0.3928,1.5095,-0.4149,False
83,2023-06-30,IOC,1,0.2,1.1162,-0.0708,-0.0442,False
84,2023-06-30,BPCL,1,0.2,0.9549,1.2594,0.2219,True
85,2023-06-30,INDIGO,1,0.2,0.4201,1.7441,0.3188,True
86,2023-06-30,ADANIPORTS,1,0.2,1.0032,-6.1678,-1.2636,False
87,2023-06-30,HINDUNILVR,-1,-0.25,-0.543,1.4905,-0.4101,False
88,2023-06-30,ITC,1,0.2,0.4845,-5.0734,-1.0447,False
89,2023-06-30,INFY,-1,-0.25,-1.1933,-1.3195,0.2924,True
90,2023-07-11,IOC,-1,-0.25,-0.3862,1.5546,-0.4261,False
91,2023-07-11,BPCL,1,0.2,0.7188,-1.0512,-0.2402,False
92,2023-07-11,INDIGO,1,0.2,0.9457,3.4697,0.6639,True
93,2023-07-11,HPCL,-1,-0.25,0.004,-5.9446,1.4486,True
94,2023-07-11,ADANIPORTS,1,0.2,0.763,-0.49,-0.128,False
95,2023-07-11,ASIANPAINT,-1,-0.25,-0.2477,-7.1627,1.7532,True
96,2023-07-11,HINDUNILVR,1,0.2,1.0306,-0.2843,-0.0869,False
97,2023-07-11,TCS,1,0.2,1.1909,-1.5319,-0.3364,False
98,2023-07-11,INFY,-1,-0.25,-0.2699,-1.2077,0.2644,True
99,2023-08-01,RELIANCE,1,0.2,0.6344,1.0725,0.1845,True
100,2023-08-01,ONGC,1,0.2,0.601,0.8721,0.1444,True
101,2023-08-01,IOC,-1,-0.25,-0.0975,3.0648,-0.8037,False
102,2023-08-01,BPCL,1,0.2,1.1214,-0.107,-0.0514,False
103,2023-08-01,INDIGO,1,0.2,1.1381,-3.3596,-0.7019,False
104,2023-08-01,HPCL,1,0.2,0.6782,1.5907,0.2881,True
105,2023-08-01,ADANIPORTS,-1,-0.25,-0.1691,2.0668,-0.5542,False
106,2023-08-01,HINDUNILVR,-1,-0.25,0.0808,0.176,-0.0815,False
107,2023-08-01,TCS,-1,-0.25,0.2072,3.5762,-0.9316,False
108,2023-08-10,IOC,-1,-0.25,-0.8981,-2.6536,0.6259,True
109,2023-08-10,BPCL,1,0.2,-0.0161,-2.5648,-0.543,False
110,2023-08-10,INDIGO,-1,-0.25,-0.678,-0.2387,0.0222,True
111,2023-08-10,HPCL,-1,-0.25,-0.6194,-1.266,0.279,True
112,2023-08-10,ADANIPORTS,1,0.2,-0.1044,1.7006,0.3101,True
113,2023-08-10,TATAMOTORS,1,0.2,0.7026,-0.1477,-0.0595,False
114,2023-08-10,ASIANPAINT,-1,-0.25,-0.9528,-2.1698,0.505,True
115,2023-08-10,HINDUNILVR,1,0.2,-0.0092,-0.9494,-0.2199,False
116,2023-08-10,TCS,1,0.2,-0.2523,2.7227,0.5145,True
117,2023-08-25,RELIANCE,-1,-0.25,-0.077,0.4709,-0.1552,False
118,2023-08-25,IOC,-1,-0.25,-0.4658,-3.8125,0.9156,True
119,2023-08-25,BPCL,1,0.2,0.5724,2.4189,0.4538,True
120,2023-08-25,HPCL,1,0.2,0.7081,-0.7646,-0.1829,False
121,2023-08-25,ASIANPAINT,-1,-0.25,-0.3544,-3.9059,0.939,True
122,2023-08-25,HINDUNILVR,1,0.2,0.5889,-3.5854,-0.7471,False
123,2023-08-25,ITC,-1,-0.25,-0.1559,-2.7522,0.6506,True
124,2023-08-25,INFY,1,0.2,0.6332,-0.0686,-0.0437,False
125,2023-08-25,CIPLA,1,0.2,0.8626,1.1505,0.2001,True
126,2023-09-06,IOC,-1,-0.25,-0.5356,2.1095,-0.5649,False
127,2023-09-06,BPCL,-1,-0.25,-0.855,3.449,-0.8998,False
128,2023-09-06,HPCL,-1,-0.25,-0.6989,-3.4555,0.8264,True
129,2023-09-06,ADANIPORTS,1,0.2,0.475,-1.672,-0.3644,False
130,2023-09-06,TATAMOTORS,1,0.2,0.2163,5.8168,1.1334,True
131,2023-09-06,MARUTI,-1,-0.25,-0.3219,-0.8503,0.1751,True
132,2023-09-06,ASIANPAINT,1,0.2,0.4624,1.0716,0.1843,True
133,2023-09-06,HINDUNILVR,1,0.2,0.6255,-0.5254,-0.1351,False
134,2023-09-06,CIPLA,1,0.2,0.2622,-0.0365,-0.0373,False
135,2023-09-13,RELIANCE,-1,-0.25,-0.4314,3.9332,-1.0208,False
136,2023-09-13,ONGC,-1,-0.25,-0.4262,-2.787,0.6593,True
137,2023-09-13,IOC,1,0.2,0.5062,0.3193,0.0339,True
138,2023-09-13,BPCL,-1,-0.25,-0.3677,0.0433,-0.0483,False
139,2023-09-13,HPCL,-1,-0.25,-0.4275,-0.6628,0.1282,True
140,2023-09-13,TATAMOTORS,1,0.2,0.6826,1.3279,0.2356,True
141,2023-09-13,HINDUNILVR,1,0.2,0.8199,0.7166,0.1133,True
142,2023-09-13,TCS,1,0.2,0.486,5.231,1.0162,True
143,2023-09-13,INFY,1,0.2,0.507,2.4811,0.4662,True
144,2023-09-22,RELIANCE,1,0.2,0.4065,3.2853,0.6271,True
145,2023-09-22,ONGC,1,0.2,0.6088,5.1396,0.9979,True
146,2023-09-22,IOC,1,0.2,0.7483,-1.6895,-0.3679,False
147,2023-09-22,BPCL,-1,-0.25,-2.7994,-0.8018,0.163,True
148,2023-09-22,HPCL,-1,-0.25,-0.9365,-1.2553,0.2763,True
149,2023-09-22,ADANIPORTS,1,0.2,0.5741,1.8881,0.3476,True
150,2023-09-22,ASIANPAINT,1,0.2,0.0656,0.3736,0.0447,True
151,2023-09-22,ITC,-1,-0.25,-0.7965,0.197,-0.0867,False
152,2023-09-22,CIPLA,-1,-0.25,-0.5829,0.9389,-0.2722,False
153,2023-10-09,RELIANCE,1,0.2,0.2078,-2.4108,-0.5122,False
154,2023-10-09,IOC,1,0.2,0.8613,2.3517,0.4403,True
155,2023-10-09,BPCL,-1,-0.25,-1.6343,-0.3692,0.0548,True
156,2023-10-09,ADANIPORTS,1,0.2,0.4473,0.6338,0.0968,True
157,2023-10-09,MARUTI,1,0.2,0.1842,-0.1926,-0.0685,False
158,2023-10-09,ASIANPAINT,1,0.2,1.0103,0.43,0.056,True
159,2023-10-09,HINDUNILVR,-1,-0.25,-0.8547,2.1749,-0.5812,False
160,2023-10-09,ITC,-1,-0.25,-0.8246,-4.2213,1.0178,True
161,2023-10-09,CIPLA,-1,-0.25,-1.1441,2.8618,-0.753,False
162,2023-11-07,ONGC,-1,-0.25,-0.5782,1.7046,-0.4636,False
163,2023-11-07,IOC,-1,-0.25,-0.3064,3.8678,-1.0045,False
164,2023-11-07,BPCL,-1,-0.25,-0.5197,3.9197,-1.0174,False
165,2023-11-07,INDIGO,-1,-0.25,-0.2082,3.7918,-0.9855,False
166,2023-11-07,HPCL,1,0.2,0.68,-3.8396,-0.7979,False
167,2023-11-07,MARUTI,1,0.2,0.4524,-0.9451,-0.219,False
168,2023-11-07,ASIANPAINT,1,0.2,0.4353,-2.2596,-0.4819,False
169,2023-11-07,TCS,1,0.2,0.7093,-0.366,-0.1032,False
170,2023-11-07,CIPLA,1,0.2,0.7822,1.4293,0.2559,True
171,2023-11-14,ONGC,1,0.2,0.9836,5.8625,1.1425,True
172,2023-11-14,IOC,-1,-0.25,-0.6851,1.691,-0.4603,False
173,2023-11-14,BPCL,1,0.2,0.531,0.7081,0.1116,True
174,2023-11-14,INDIGO,-1,-0.25,-0.9061,-6.7775,1.6569,True
175,2023-11-14,HPCL,1,0.2,0.6753,5.1987,1.0097,True
176,2023-11-14,ADANIPORTS,1,0.2,0.9193,0.8138,0.1328,True
177,2023-11-14,TATAMOTORS,-1,-0.25,-0.5871,-1.4919,0.3355,True
178,2023-11-14,MARUTI,1,0.2,0.5786,-5.7723,-1.1845,False
179,2023-11-14,INFY,-1,-0.25,-2.006,0.2574,-0.1018,False
180,2024-01-12,RELIANCE,1,0.2,0.1927,-2.8963,-0.6093,False
181,2024-01-12,ONGC,1,0.2,0.9035,-7.8298,-1.596,False
182,2024-01-12,IOC,1,0.2,1.0169,-0.4221,-0.1144,False
183,2024-01-12,BPCL,1,0.2,0.5862,2.9318,0.5564,True
184,2024-01-12,MARUTI,-1,-0.25,-0.771,2.8071,-0.7393,False
185,2024-01-12,ASIANPAINT,-1,-0.25,-0.5808,1.1237,-0.3184,False
186,2024-01-12,HINDUNILVR,1,0.2,0.2147,0.4326,0.0565,True
187,2024-01-12,TCS,-1,-0.25,-0.6625,2.3909,-0.6352,False
188,2024-01-12,INFY,-1,-0.25,-0.6262,-0.0132,-0.0342,True
189,2024-01-19,RELIANCE,1,0.2,-0.2041,0.6222,0.0944,True
190,2024-01-19,ONGC,1,0.2,-0.0037,0.6287,0.0957,True
191,2024-01-19,BPCL,1,0.2,-0.0187,1.7345,0.3169,True
192,2024-01-19,INDIGO,-1,-0.25,-1.24,2.3527,-0.6257,False
193,2024-01-19,HPCL,1,0.2,0.9706,2.2087,0.4117,True
194,2024-01-19,ADANIPORTS,-1,-0.25,-1.5992,-1.1319,0.2455,True
195,2024-01-19,ASIANPAINT,1,0.2,-0.0247,0.8252,0.135,True
196,2024-01-19,TCS,-1,-0.25,-1.7236,-1.7592,0.4023,True
197,2024-01-19,CIPLA,-1,-0.25,-1.4659,-1.213,0.2657,True
198,2024-02-02,RELIANCE,1,0.2,0.3939,4.3389,0.8378,True
199,2024-02-02,IOC,1,0.2,0.7405,5.9015,1.1503,True
200,2024-02-02,BPCL,-1,-0.25,-0.3119,-6.5695,1.6049,True
201,2024-02-02,HPCL,1,0.2,0.5344,0.9639,0.1628,True
202,2024-02-02,ADANIPORTS,-1,-0.25,-1.0804,-4.4802,1.0825,True
203,2024-02-02,ITC,-1,-0.25,-0.3422,-0.3835,0.0584,True
204,2024-02-02,TCS,1,0.2,0.3391,2.8905,0.5481,True
205,2024-02-02,INFY,1,0.2,0.2764,-3.0327,-0.6365,False
206,2024-02-02,CIPLA,-1,-0.25,-0.6125,1.68,-0.4575,False
207,2024-02-13,ONGC,-1,-0.25,-0.9064,-2.7098,0.6399,True
208,2024-02-13,IOC,-1,-0.25,-0.3963,1.3096,-0.3649,False
209,2024-02-13,INDIGO,1,0.2,0.8996,-0.211,-0.0722,False
210,2024-02-13,HPCL,-1,-0.25,-0.3136,-3.1766,0.7566,True
211,2024-02-13,ADANIPORTS,1,0.2,0.8017,-3.4558,-0.7212,False
212,2024-02-13,MARUTI,-1,-0.25,-0.3365,4.1219,-1.068,False
213,2024-02-13,TCS,1,0.2,0.2858,4.2613,0.8223,True
214,2024-02-13,INFY,1,0.2,0.6437,0.853,0.1406,True
215,2024-02-13,CIPLA,1,0.2,0.36,3.7729,0.7246,True
216,2024-03-01,RELIANCE,1,0.2,0.2774,-3.9086,-0.8117,False
217,2024-03-01,IOC,-1,-0.25,-1.0026,0.0638,-0.0535,False
218,2024-03-01,INDIGO,-1,-0.25,-0.6352,0.1407,-0.0727,False
219,2024-03-01,TATAMOTORS,1,0.2,0.3846,-3.3602,-0.702,False
220,2024-03-01,MARUTI,1,0.2,0.5661,-0.1732,-0.0646,False
221,2024-03-01,ASIANPAINT,1,0.2,0.3327,0.4358,0.0572,True
222,2024-03-01,TCS,-1,-0.25,-0.5976,-3.1014,0.7378,True
223,2024-03-01,INFY,1,0.2,0.7885,-2.18,-0.466,False
224,2024-03-01,CIPLA,-1,-0.25,-0.6698,-3.0132,0.7158,True
225,2024-03-12,RELIANCE,1,0.2,0.5192,-1.9388,-0.4178,False
226,2024-03-12,ONGC,1,0.2,0.4667,-0.2052,-0.071,False
227,2024-03-12,IOC,-1,-0.25,0.0525,2.0049,-0.5387,False
228,2024-03-12,BPCL,1,0.2,0.4785,3.2169,0.6134,True
229,2024-03-12,HPCL,1,0.2,0.3331,-2.2371,-0.4774,False
230,2024-03-12,ADANIPORTS,-1,-0.25,-0.1336,-6.831,1.6702,True
231,2024-03-12,HINDUNILVR,-1,-0.25,0.0194,-0.3699,0.055,True
232,2024-03-12,TCS,-1,-0.25,-0.4185,-2.8236,0.6684,True
233,2024-03-12,INFY,1,0.2,0.6039,-0.8898,-0.208,False
234,2024-03-21,RELIANCE,-1,-0.25,-0.5426,0.2009,-0.0877,False
235,2024-03-21,BPCL,-1,-0.25,-0.8848,4.5749,-1.1812,False
236,2024-03-21,INDIGO,1,0.2,1.5085,-1.282,-0.2864,False
237,2024-03-21,HPCL,1,0.2,1.0188,-3.5227,-0.7345,False
238,2024-03-21,ADANIPORTS,-1,-0.25,-0.5146,0.9628,-0.2782,False
239,2024-03-21,ASIANPAINT,-1,-0.25,-0.5421,-0.2542,0.026,True
240,2024-03-21,HINDUNILVR,1,0.2,0.5461,0.6304,0.0961,True
241,2024-03-21,TCS,1,0.2,0.4028,-0.5667,-0.1433,False
242,2024-03-21,CIPLA,1,0.2,0.4672,1.9924,0.3685,True
243,2024-04-01,RELIANCE,1,0.2,0.6772,0.3293,0.0359,True
244,2024-04-01,IOC,1,0.2,1.0351,-2.0205,-0.4341,False
245,2024-04-01,BPCL,-1,-0.25,-0.0706,1.6287,-0.4447,False
246,2024-04-01,HPCL,-1,-0.25,-0.4114,1.2093,-0.3398,False
247,2024-04-01,TATAMOTORS,1,0.2,1.1278,-2.2944,-0.4889,False
248,2024-04-01,HINDUNILVR,1,0.2,0.483,0.578,0.0856,True
249,2024-04-01,TCS,-1,-0.25,0.0708,0.9606,-0.2776,False
250,2024-04-01,INFY,1,0.2,0.7883,-0.0874,-0.0475,False
251,2024-04-01,CIPLA,-1,-0.25,0.1628,-1.8834,0.4333,True
252,2024-04-15,RELIANCE,-1,-0.25,-0.5281,3.0292,-0.7948,False
253,2024-04-15,ONGC,1,0.2,0.6804,-4.9071,-1.0114,False
254,2024-04-15,INDIGO,1,0.2,0.4381,-2.6097,-0.5519,False
255,2024-04-15,HPCL,-1,-0.25,-0.9414,-1.8919,0.4355,True
256,2024-04-15,TATAMOTORS,-1,-0.25,-0.8666,-1.6539,0.376,True
257,2024-04-15,MARUTI,1,0.2,0.6592,-0.1732,-0.0646,False
258,2024-04-15,HINDUNILVR,1,0.2,0.4403,-0.2554,-0.0811,False
259,2024-04-15,INFY,-1,-0.25,-0.4216,-0.3199,0.0425,True
260,2024-04-15,CIPLA,1,0.2,0.1188,0.4258,0.0552,True
261,2024-04-25,ONGC,1,0.2,0.4473,2.7835,0.5267,True
262,2024-04-25,INDIGO,-1,-0.25,-0.9805,2.9178,-0.7669,False
263,2024-04-25,HPCL,1,0.2,0.265,-1.6155,-0.3531,False
264,2024-04-25,ADANIPORTS,1,0.2,0.2572,6.4131,1.2526,True
265,2024-04-25,TATAMOTORS,1,0.2,0.255,-6.6644,-1.3629,False
266,2024-04-25,MARUTI,-1,-0.25,-0.484,-4.8733,1.1808,True
267,2024-04-25,TCS,1,0.2,0.1115,0.2613,0.0223,True
268,2024-04-25,INFY,-1,-0.25,-0.9826,-0.301,0.0377,True
269,2024-04-25,CIPLA,-1,-0.25,-0.9951,-2.4364,0.5716,True
270,2024-05-02,RELIANCE,1,0.2,0.8644,0.0635,-0.0173,True
271,2024-05-02,ONGC,1,0.2,0.4237,-3.9411,-0.8182,False
272,2024-05-02,IOC,1,0.2,0.4487,0.8595,0.1419,True
273,2024-05-02,INDIGO,-1,-0.25,-2.0105,-4.1096,0.9899,True
274,2024-05-02,ADANIPORTS,-1,-0.25,-1.8512,-1.9923,0.4606,True
275,2024-05-02,TATAMOTORS,1,0.2,1.0527,0.3197,0.0339,True
276,2024-05-02,ASIANPAINT,-1,-0.25,-0.5583,3.8228,-0.9932,False
277,2024-05-02,HINDUNILVR,1,0.2,0.3353,2.1669,0.4034,True
278,2024-05-02,ITC,-1,-0.25,-0.9005,1.8609,-0.5027,False
279,2024-05-10,RELIANCE,-1,-0.25,-0.4956,-1.3514,0.3004,True
280,2024-05-10,ONGC,1,0.2,0.8381,-0.6927,-0.1685,False
281,2024-05-10,IOC,1,0.2,0.4631,0.9309,0.1562,True
282,2024-05-10,HPCL,1,0.2,1.1866,1.0828,0.1866,True
283,2024-05-10,TATAMOTORS,1,0.2,0.7733,2.0905,0.3881,True
284,2024-05-10,MARUTI,1,0.2,1.0891,-1.0508,-0.2402,False
285,2024-05-10,ASIANPAINT,-1,-0.25,-0.5529,-2.3181,0.542,True
286,2024-05-10,HINDUNILVR,-1,-0.25,-0.2694,0.7359,-0.2215,False
287,2024-05-10,INFY,-1,-0.25,-0.303,3.2604,-0.8526,False
288,2024-06-05,ONGC,1,0.2,0.7992,-3.6054,-0.7511,False
289,2024-06-05,BPCL,1,0.2,0.4829,-1.6338,-0.3568,False
290,2024-06-05,INDIGO,1,0.2,1.835,1.0632,0.1826,True
291,2024-06-05,ADANIPORTS,-1,-0.25,0.0387,-0.8861,0.184,True
292,2024-06-05,TATAMOTORS,1,0.2,0.5356,6.2703,1.2241,True
293,2024-06-05,MARUTI,1,0.2,0.9093,6.0909,1.1882,True
294,2024-06-05,ASIANPAINT,-1,-0.25,-0.2785,0.1269,-0.0692,False
295,2024-06-05,ITC,-1,-0.25,-0.0889,0.7184,-0.2171,False
296,2024-06-05,TCS,-1,-0.25,-0.1245,-1.2048,0.2637,True
297,2024-06-21,IOC,1,0.2,1.1615,1.6482,0.2996,True
298,2024-06-21,BPCL,1,0.2,0.5985,-1.1874,-0.2675,False
299,2024-06-21,INDIGO,1,0.2,0.6965,3.6942,0.7088,True
300,2024-06-21,HPCL,1,0.2,0.5544,-1.0524,-0.2405,False
301,2024-06-21,ADANIPORTS,-1,-0.25,-0.3569,-0.5079,0.0895,True
302,2024-06-21,TATAMOTORS,1,0.2,0.4668,5.6503,1.1001,True
303,2024-06-21,ITC,-1,-0.25,-0.8716,-0.929,0.1947,True
304,2024-06-21,TCS,-1,-0.25,-0.3902,1.2625,-0.3531,False
305,2024-06-21,INFY,-1,-0.25,-0.6005,1.3009,-0.3627,False
306,2024-07-11,ONGC,-1,-0.25,-0.8828,1.2566,-0.3516,False
307,2024-07-11,IOC,1,0.2,0.016,0.7109,0.1122,True
308,2024-07-11,INDIGO,1,0.2,-0.1355,-3.045,-0.639,False
309,2024-07-11,HPCL,1,0.2,-0.0847,-2.3652,-0.503,False
310,2024-07-11,ADANIPORTS,-1,-0.25,-0.9365,-5.1448,1.2487,True
311,2024-07-11,MARUTI,1,0.2,-0.189,0.4253,0.0551,True
312,2024-07-11,TCS,1,0.2,0.2579,2.4092,0.4518,True
313,2024-07-11,INFY,-1,-0.25,-1.1434,-0.031,-0.0298,True
314,2024-07-11,CIPLA,-1,-0.25,-0.8789,-1.6602,0.3775,True
315,2024-08-05,RELIANCE,1,0.2,0.5951,-1.8612,-0.4022,False
316,2024-08-05,IOC,-1,-0.25,-0.1364,-2.3974,0.5618,True
317,2024-08-05,HPCL,-1,-0.25,-0.3866,-3.0497,0.7249,True
318,2024-08-05,TATAMOTORS,-1,-0.25,-0.5361,-1.2839,0.2835,True
319,2024-08-05,ASIANPAINT,1,0.2,0.7216,0.7889,0.1278,True
320,2024-08-05,HINDUNILVR,-1,-0.25,-0.0987,-0.7586,0.1522,True
321,2024-08-05,ITC,1,0.2,0.7399,-0.6519,-0.1604,False
322,2024-08-05,TCS,1,0.2,0.7224,-0.2044,-0.0709,False
323,2024-08-05,CIPLA,1,0.2,0.7326,0.1267,-0.0047,True
324,2024-08-12,ONGC,-1,-0.25,-0.8716,-1.8114,0.4153,True
325,2024-08-12,IOC,1,0.2,0.538,4.6436,0.8987,True
326,2024-08-12,BPCL,1,0.2,0.3567,-0.8463,-0.1993,False
327,2024-08-12,INDIGO,-1,-0.25,-0.5212,3.7676,-0.9794,False
328,2024-08-12,ADANIPORTS,-1,-0.25,-0.5738,-2.8153,0.6663,True
329,2024-08-12,TATAMOTORS,-1,-0.25,-1.5864,-0.7799,0.1575,True
330,2024-08-12,MARUTI,1,0.2,0.4513,-1.4141,-0.3128,False
331,2024-08-12,HINDUNILVR,1,0.2,0.253,0.8872,0.1474,True
332,2024-08-12,ITC,1,0.2,0.4399,-1.2734,-0.2847,False
333,2024-08-22,RELIANCE,1,0.2,0.2505,-0.0346,-0.0369,False
334,2024-08-22,BPCL,1,0.2,-0.2133,-2.4918,-0.5284,False
335,2024-08-22,INDIGO,-1,-0.25,-1.1598,2.6193,-0.6923,False
336,2024-08-22,HPCL,-1,-0.25,-1.0083,0.3357,-0.1214,False
337,2024-08-22,ADANIPORTS,1,0.2,-0.3891,3.9815,0.7663,True
338,2024-08-22,MARUTI,1,0.2,0.1658,4.0177,0.7735,True
339,2024-08-22,ASIANPAINT,-1,-0.25,-0.9168,-1.6327,0.3707,True
340,2024-08-22,HINDUNILVR,1,0.2,-0.1566,0.1806,0.0061,True
341,2024-08-22,INFY,-1,-0.25,-0.8803,-2.2154,0.5163,True
342,2024-08-29,IOC,-1,-0.25,-0.5555,-0.6984,0.1371,True
343,2024-08-29,BPCL,1,0.2,0.5653,0.446,0.0592,True
344,2024-08-29,HPCL,1,0.2,0.2234,5.2689,1.0238,True
345,2024-08-29,ADANIPORTS,1,0.2,0.9307,0.3849,0.047,True
346,2024-08-29,TATAMOTORS,1,0.2,0.2058,-1.8965,-0.4093,False
